text,source,product,rating,platform,category
Absolutely love these earbuds! The sound quality is amazing and the battery lasts all day.,Amazon Reviews,Wireless Earbuds,5,,
Terrible product. Stopped working after two days and customer service was no help at all.,Amazon Reviews,Wireless Earbuds,1,,
"They are okay, nothing special but they do the job for the price.",Amazon Reviews,Wireless Earbuds,3,,
"Best purchase I've made this year, super comfortable and the noise cancellation is excellent.",Amazon Reviews,Wireless Earbuds,5,,
"Very disappointed, the left earbud stopped connecting after a week of normal use.",Amazon Reviews,Wireless Earbuds,1,,
Decent sound but the fit is a bit uncomfortable after long use.,Amazon Reviews,Wireless Earbuds,3,,
"I am extremely happy with this purchase, exceeded my expectations completely.",Amazon Reviews,Wireless Earbuds,5,,
"Not worth the money, the sound is tinny and they keep disconnecting randomly.",Amazon Reviews,Wireless Earbuds,2,,
"Great value for money, works well and the case is sturdy.",Amazon Reviews,Wireless Earbuds,4,,
"Horrible experience, arrived broken and the seller refused a replacement.",Amazon Reviews,Wireless Earbuds,1,,
"This smart watch changed my fitness routine, I love tracking my heart rate daily.",Amazon Reviews,Smart Watch,5,,
"The screen cracked within a week of light use, very poor build quality.",Amazon Reviews,Smart Watch,1,,
"It's an average watch, the app could use some improvements but it works fine.",Amazon Reviews,Smart Watch,3,,
"Fantastic device, battery life is impressive and it looks stylish on my wrist.",Amazon Reviews,Smart Watch,5,,
Disappointed with the inaccurate step counter and the constant app crashes.,Amazon Reviews,Smart Watch,2,,
"Good watch overall, does what it promises without any major issues.",Amazon Reviews,Smart Watch,4,,
"Waste of money, the heart rate sensor is completely unreliable.",Amazon Reviews,Smart Watch,1,,
"I am so satisfied, this is exactly what I needed for my daily workouts.",Amazon Reviews,Smart Watch,5,,
"It's fine, nothing to complain about but nothing that impresses me either.",Amazon Reviews,Smart Watch,3,,
Awful customer support and the watch stopped syncing after the first update.,Amazon Reviews,Smart Watch,1,,
"This blender is a beast, crushes ice like butter and cleans up so easily.",Amazon Reviews,Blender,5,,
"Motor burned out after only three uses, extremely frustrating experience.",Amazon Reviews,Blender,1,,
"It works as expected, does the basic job without any surprises.",Amazon Reviews,Blender,3,,
Love it! Makes smoothies in seconds and the design looks great on my counter.,Amazon Reviews,Blender,5,,
"The blades are dull and it leaks from the bottom, really disappointed.",Amazon Reviews,Blender,2,,
"Solid performance for everyday use, would recommend to anyone on a budget.",Amazon Reviews,Blender,4,,
"Completely useless, broke down on the very first day I used it.",Amazon Reviews,Blender,1,,
"Pretty happy with this purchase, quiet motor and easy to clean parts.",Amazon Reviews,Blender,4,,
"It's okay, does the job but nothing that stands out compared to others.",Amazon Reviews,Blender,3,,
"Excellent quality, I am beyond impressed with how powerful this little machine is.",Amazon Reviews,Blender,5,,
Just tried the new coffee shop downtown and I am obsessed! Best latte ever #happy,Social Media,,,Twitter,
"Stuck in traffic for two hours again, this city's transport system is a disaster.",Social Media,,,Twitter,
"Can't believe how fast my order arrived, amazing service honestly!",Social Media,,,Twitter,
"So annoyed right now, my flight got cancelled with zero notice.",Social Media,,,Twitter,
"Watching the sunset from my balcony, life is good today.",Social Media,,,Twitter,
"This new phone update ruined my battery life, absolutely furious.",Social Media,,,Twitter,
"Just finished a great workout, feeling proud and energized!",Social Media,,,Twitter,
"The customer support chat was useless, waited an hour for nothing.",Social Media,,,Twitter,
"Excited for the weekend trip with friends, can't wait!",Social Media,,,Twitter,
"Another day, another bug in this app, so tired of these constant issues.",Social Media,,,Twitter,
Grateful for this beautiful morning and a fresh cup of tea.,Social Media,,,Instagram,
"Feeling heartbroken after today's news, such a sad moment for everyone.",Social Media,,,Instagram,
"New workout playlist is fire, feeling unstoppable today!",Social Media,,,Instagram,
"This restaurant experience was a nightmare, rude staff and cold food.",Social Media,,,Instagram,
"So proud of my little sister for graduating today, tears of joy!",Social Media,,,Instagram,
Nervous about tomorrow's interview but trying to stay hopeful.,Social Media,,,Instagram,
"Absolutely loved the concert last night, best night of my life!",Social Media,,,Instagram,
Feeling anxious about the exam results coming out tomorrow.,Social Media,,,Instagram,
"Such a relaxing spa day, I needed this so much.",Social Media,,,Instagram,
Furious about the parking ticket I got for no reason at all.,Social Media,,,Instagram,
"Thankful for my amazing team, we hit our project goal today!",Social Media,,,Facebook,
Devastated to hear about the layoffs at our company this week.,Social Media,,,Facebook,
"My kids surprised me with breakfast in bed, such a sweet morning.",Social Media,,,Facebook,
Scared about the storm warning issued for our area tonight.,Social Media,,,Facebook,
"Had the best family reunion this weekend, missing everyone already.",Social Media,,,Facebook,
"Disgusted by how that company treated their employees, unacceptable.",Social Media,,,Facebook,
Feeling calm and content after a peaceful walk in the park.,Social Media,,,Facebook,
Shocked by the sudden price increase at my favorite grocery store.,Social Media,,,Facebook,
"Celebrating five years at my job today, grateful for the journey.",Social Media,,,Facebook,
"Worried about my grandmother's health, please keep her in your thoughts.",Social Media,,,Facebook,
Tech company reports record profits and announces plans for major expansion,News Headlines,,,,Business
Thousands of jobs at risk as manufacturing giant announces sudden factory closures,News Headlines,,,,Business
"Local startup secures huge investment, promising exciting growth for the region",News Headlines,,,,Business
Stock markets plunge amid growing fears of a global economic slowdown,News Headlines,,,,Business
New trade agreement expected to boost exports and strengthen economic ties,News Headlines,,,,Business
Breakthrough new treatment offers hope to millions suffering from chronic illness,News Headlines,,,,Health
Hospitals overwhelmed as flu outbreak spreads rapidly across the region,News Headlines,,,,Health
Study reveals encouraging results for new vaccine in early trials,News Headlines,,,,Health
Health officials warn of dangerous contamination found in popular food product,News Headlines,,,,Health
Community celebrates opening of new free health clinic for underserved families,News Headlines,,,,Health
Revolutionary AI tool praised for dramatically improving productivity,News Headlines,,,,Technology
Major data breach exposes sensitive information of millions of users,News Headlines,,,,Technology
Company unveils impressive new smartphone with cutting edge features,News Headlines,,,,Technology
Cybersecurity experts warn of alarming rise in ransomware attacks,News Headlines,,,,Technology
New app helps thousands of small businesses recover after difficult year,News Headlines,,,,Technology
"Historic climate agreement signed, offering hope for a sustainable future",News Headlines,,,,Environment
"Wildfires devastate thousands of acres, forcing mass evacuations",News Headlines,,,,Environment
City celebrates successful clean energy initiative cutting emissions sharply,News Headlines,,,,Environment
Severe drought threatens crops and water supply across the region,News Headlines,,,,Environment
Volunteers praised for restoring local wetlands and reviving wildlife habitat,News Headlines,,,,Environment
Underdog team stuns fans with incredible championship victory,News Headlines,,,,Sports
"Star player suffers season ending injury, devastating fans and teammates",News Headlines,,,,Sports
City celebrates as local team wins championship for the first time in decades,News Headlines,,,,Sports
Controversy erupts after referee's disputed decision costs team the match,News Headlines,,,,Sports
Young athlete inspires community with remarkable comeback story,News Headlines,,,,Sports
Government announces new policy aimed at boosting affordable housing,News Headlines,,,,Politics
Protests erupt across the country over controversial new legislation,News Headlines,,,,Politics
Leaders praised for reaching historic peace agreement after years of conflict,News Headlines,,,,Politics
Corruption scandal sparks outrage and calls for immediate resignation,News Headlines,,,,Politics
New education reform welcomed by parents and teachers nationwide,News Headlines,,,,Politics
